atom,pp_file_name,nexclude,orbitals
H,H.pbe-rrkjus_psl.0.1,0,s
He,He.pbe-rrkjus_psl.0.2.3,1,
Li,Li.pbe-s-rrkjus_psl.0.2.1,1,s
Be,Be.pbe-n-rrkjus_psl.0.2,0,sp
B,B.pbe-n-rrkjus_psl.0.1,0,sp
C,C.pbe-n-rrkjus_psl.0.1,0,sp
N,N.pbe-n-rrkjus_psl.0.1,1,p
O,O.pbe-n-rrkjus_psl.0.1,1,p
F,F.pbe-n-rrkjus_psl.0.1,1,p
Ne,Ne.pbe-n-rrkjus_psl.1.0.0,1,p
Na,Na.pbe-spn-rrkjus_psl.0.2,4,s
Mg,Mg.pbe-n-rrkjus_psl.0.3.0,0,s
Al,Al.pbe-n-rrkjus_psl.0.2.2,0,sp
Si,Si.pbe-n-rrkjus_psl.0.1,0,sp
P,P.pbe-n-rrkjus_psl.0.1,1,p
S,S.pbe-n-rrkjus_psl.0.1,1,p
Cl,Cl.pbe-n-rrkjus_psl.0.3.0,1,p
Ar,Ar.pbe-n-rrkjus_psl.0.3.0,1,p
K,K.pbe-spn-rrkjus_psl.0.2.3,4,
Ca,Ca.pbe-spn-rrkjus_psl.0.2.3,4,s
Sc,Sc.pbe-spn-rrkjus_psl.0.2.3,4,sd
Ti,Ti.pbe-spn-rrkjus_psl.0.3.1,4,spd
V,V.pbe-spn-rrkjus_psl.0.2.3,4,sd
Cr,Cr.pbe-spn-rrkjus-tk,4,spd
Mn,Mn.pbe-spn-rrkjus_psl.0.3.1,4,spd
Fe,Fe.pbe-spn-rrkjus_psl.0.2.1,4,spd
Co,Co.pbe-n-rrkjus_psl.0.2.3,0,spd
Ni,Ni.pbe-n-rrkjus_psl.0.1,0,spd
Cu,Cu.pbe-dn-rrkjus_psl.0.2,0,spd
Zn,Zn.pbe-dn-rrkjus_psl.0.2.2,0,spd
Ga,Ga.pbe-dn-rrkjus_psl.0.2,5,sp
Ge,Ge.pbe-dn-rrkjus_psl.0.3.1,5,sp
As,As.pbe-n-rrkjus_psl.0.2,1,p
Se,Se.pbe-n-rrkjus_psl.0.2,1,p
Br,Br.pbe-n-rrkjus_psl.0.2,1,p
Kr,Kr.pbe-n-rrkjus_psl.0.2.3,1,p
Rb,Rb.pbe-spn-rrkjus_psl.0.2.3,4,s
Sr,Sr.pbe-spn-rrkjus_psl.0.2.3,4,s
Y,Y.pbe-spn-rrkjus_psl.0.2.3,4,spd
Zr,Zr.pbe-spn-rrkjus_psl.0.2.3,4,spd
Nb,Nb.pbe-spn-rrkjus_psl.0.3.0,4,sd
Mo,Mo.pbe-spn-rrkjus_psl.0.3.0,4,spd
Tc,Tc.pbe-spn-rrkjus_psl.0.3.0,4,spd
Ru,Ru.pbe-spn-rrkjus_psl.0.3.0,4,spd
Rh,Rh.pbe-spn-rrkjus_psl.0.3.0,4,spd
Pd,Pd.pbe-n-rrkjus_psl.0.3.0,0,sd
Ag,Ag.pbe-dn-rrkjus_psl.0.1,0,sd
